user_id,user_screenname,user_name,user_location,user_bio,user_createdat,user_followers_count,user_friends_count,user_favourites_count,user_laststatus_date,user_laststatus_text,user_statuses_count,is_friend,am_following,days_laststatus
8.53682E+17,Xxcept1on,Mike_Official,,"Founder  of CallOfTechies
#Entrepreneur #ProgrammingLover😘  
#android developer 
#ios developer 
#gamer",04-16-2017,43,202,677,06-19-2019,Is @csgo_dev  is dead?? I noticed deathmatch servers from last 1 week and everytime i found empty lobby. May be one… https://t.co/AiuOKKDgBQ,228,1,0,11
18299065,badgermind,Robin Taylor,"Stromness, Orkney","Photographer, pagan explorer of self and nature, fascinated by mathematics and the diversity of languages",12-22-2008,1373,2179,92443,06-22-2019,"RT @MoominOfficial: Happy Midsummer dear Moomin fans! 😍☀
🌸🌺🌷🌹🌼🌻 #ToveJansson #Moomin #MoominsummerMadness #Midsummer #Midsummermagic #moomi…",4661,1,0,8
2148446229,najarvg,Rajan G,Chicago,"#cancerinformatics @uccancercenter. Science geek. Occasionally politics. Music, beer and burger devotee. Opinions are my own!",10-22-2013,264,177,36732,06-25-2019,RT @EvaMaeRey: Leaflet for R package from @rstudio is so 😎!!  Exploring with a little flipbook. #rstats #pipelines https://t.co/lD9ytPUGSL…,2833,1,0,5
356935855,bolyche,Chris Bolychevsky,"London, England","Works at a startup, former neuroscience PhD student, chemist in a former life.  Curious, coffee-addicted, (they/she) 🌈🐼🏳️‍🌈",08-17-2011,228,452,2444,06-22-2019,"RT @The_UnSilent_: Imagine 6 yrs ago, an article came out detailing a rape committed by our then president Barack Obama...

Now imagine he…",4220,1,0,8
781261333,amir_hk_,amiir,,"#BigData, #DataMining, #DataScience, Combinatorial optimization, Machine learning, Feature selection",08-25-2012,788,1500,1342,06-23-2019,"RT @ipfconline1: #MachineLearning Algorithmic Trade-Off [Infographic]
👇
Interpretability and Accuracy of Artificial Intelligence, ML &amp; #Dee…",3381,1,0,7
28388948,K_Mcadams,K. D. McAdams,New Hampshire,"Tech-optimist, #ScienceFiction author, Growth & Development #coach, #AI, #HCI and off Earth colonization enthusiast. https://t.co/cAgsHzo8ev",04-02-2009,2871,3466,6727,05-30-2019,RT @Tko1979: Parents and fans at AAU events can we please stop verbally assaulting officials. The next time someone says” the refs cheated…,11428,1,0,31
1.13239E+18,BSchoolofai,Bilbao School Of AI,"Bilbao, Spain",Nuestra misión es ofrecer una educación de Inteligencia Artificial de clase mundial a cualquier persona en la Tierra de forma gratuita.,05-25-2019,38,176,159,06-25-2019,RT @Deep__AI: From the Machine Learning &amp; Data Science glossary: Normal Distribution https://t.co/D10hs7LMJo #MachineLearning #NormalDistri…,70,1,0,5
1411677012,bluepill5,bluepill5,,I ♥ music & data,05-08-2013,25,240,787,06-24-2019,RT @torturecrush: This was supposed to be my day off https://t.co/FLESoPmgso,455,1,0,6
9.1221E+17,ai_zahran,Ahmed Ismail,"Cairo, Egypt","Data Scientist, MSc Student at @CairoUniv.
AI is the new AIr",09-25-2017,37,486,245,05-10-2019,RT @MohamedMZahran: I think there must be an update to the algorithm analysis course in CS departments. Students need to know that communic…,12,1,0,51
1.13575E+18,MuhNurmahmudin1,Muh Nurmahmudin,,Apa ya .. ?,06-04-2019,7,73,0,06-05-2019,@TokopediaCare Terimakasih @TokopediaCare,2,1,0,25
253004071,SamehBenF,Sameh Ben Fredj,"Paris, France","#DataScientist @XebiaFr , #Phd & #Womenintech. #IoT, #Data, #Dataforgood, #Travel & #Food Lover. #DataXDay organizer. #ViewsAreMyOwn",02-16-2011,1014,1436,657,06-24-2019,"RT @DataXDay: Nous sommes officiellement SOLD OUT ! 
Merci à vous, et surtout : rendez-vous jeudi ! 😁 https://t.co/FC6798Vpp7",1292,1,0,6
47277053,fsando,Finn Sandø,"Copenhagen, Denmark","Data management of scientific data, php developer and all things R.",06-15-2009,32,288,171,06-20-2019,"RT @brodock: We just removed support for MySQL at @gitlab (12.1): https://t.co/PiroUPc2aV. Having to support two different, partially compa…",444,1,0,10
9.64947E+17,akademosrd,Comunidad Akádemosrd,Dominican Republic,Como iniciativa ciudadana procuramos estimular el debate saludable  y racional de ideas en todos los ámbitos del saber. #PensamientoCrítico,02-17-2018,24,168,280,06-24-2019,"Vemos como los memes nos entretienen, son graciosos, pero ¿sabemos de donde viene todo esto? 
Artículo &lt;&lt;Memelandia… https://t.co/bScLl0ed46",255,1,0,6
215703952,C_Tutiven,Christian Tutiven,"Guayaquil, Ecuador","Ph.D. Automatic, Robotic and vision, Data scientist, Artificial Intelligence engineer and https://t.co/gH1uG2NxBP Guayaquil Lead",11-14-2010,788,891,539,06-24-2019,"RT @apolmig: wow! Spain healthiest nation in the 🌍! 
""🇪🇸 is singled out for a notable decline in cardiovascular diseases and deaths from ca…",11998,1,0,6
